cell_name,site_id,x_um,y_um,physical_cell_name,cell_type
$abc$9276$auto$blifparse.cc:396:parse_blif$9290,810,448.8999938964844,10.4399995803833,T16Y0__R2_INV_1,sky130_fd_sc_hd__clkinv_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9309,712,393.70001220703125,10.4399995803833,T14Y0__R2_INV_1,sky130_fd_sc_hd__clkinv_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9498,51588,226.25999450683594,328.67999267578125,T8Y29__R3_NAND_0,sky130_fd_sc_hd__nand2_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9555,69228,226.25999450683594,437.4800109863281,T8Y39__R3_NAND_0,sky130_fd_sc_hd__nand2_2
$auto$hilomap.cc:40:hilomap_worker$12031,22,19.260000228881836,7.71999979019165,T0Y0__R1_CONB_0,sky130_fd_sc_hd__conb_1
$auto$hilomap.cc:40:hilomap_worker$8815,141150,16.040000915527344,880.8400268554688,T0Y80__R2_CONB_0,sky130_fd_sc_hd__conb_1
$auto$hilomap.cc:48:hilomap_worker$8817,30,16.040000915527344,10.4399995803833,T0Y0__R2_CONB_0,sky130_fd_sc_hd__conb_1
$abc$9276$auto$blifparse.cc:396:parse_blif$9282,141137,10.0600004196167,878.1199951171875,T0Y80__R1_INV_0,sky130_fd_sc_hd__clkinv_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9308,26,7.300000190734863,10.4399995803833,T0Y0__R2_INV_1,sky130_fd_sc_hd__clkinv_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9417,35635,221.66000366210938,222.60000610351562,T7Y20__R0_OR_2,sky130_fd_sc_hd__or2_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9435,44455,221.66000366210938,277.0,T7Y25__R0_OR_2,sky130_fd_sc_hd__or2_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9455,35660,221.66000366210938,228.0399932861328,T7Y20__R2_OR_4,sky130_fd_sc_hd__or2_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9475,62120,221.66000366210938,391.239990234375,T7Y35__R2_OR_4,sky130_fd_sc_hd__or2_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9516,44454,219.36000061035156,277.0,T7Y25__R0_OR_1,sky130_fd_sc_hd__or2_2
$abc$9276$auto$blifparse.cc:396:parse_blif$9536,62095,221.66000366210938,385.79998779296875,T7Y35__R0_OR_2,sky130_fd_sc_hd__or2_2
$auto$insbuf.cc:97:execute$11712,3595,39.5,29.479999542236328,T1Y2__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11713,134108,14.65999984741211,840.0399780273438,T0Y76__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11714,134069,14.199999809265137,831.8800048828125,T0Y76__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11715,1818,41.79999923706055,15.880000114440918,T1Y1__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11716,146466,41.79999923706055,908.0399780273438,T1Y83__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11717,1769,14.199999809265137,15.880000114440918,T0Y1__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11718,132305,14.199999809265137,821.0,T0Y75__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11719,139374,11.899999618530273,867.239990234375,T0Y79__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11720,93,42.2599983215332,13.15999984741211,T1Y0__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11721,130580,14.65999984741211,818.280029296875,T0Y74__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11722,5408,67.0999984741211,40.36000061035156,T2Y3__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11723,8864,14.65999984741211,67.55999755859375,T0Y5__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11724,5,14.199999809265137,5.0,T0Y0__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11725,137610,11.899999618530273,856.3599853515625,T0Y78__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11726,1857,42.2599983215332,24.040000915527344,T1Y1__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11727,135882,41.79999923706055,842.760009765625,T1Y77__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11728,5346,41.79999923706055,37.63999938964844,T1Y3__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11729,142,69.86000061035156,13.15999984741211,T2Y0__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11730,142902,11.899999618530273,889.0,T0Y81__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11731,67,39.5,7.71999979019165,T1Y0__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11732,18,11.899999618530273,7.71999979019165,T0Y0__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11733,142977,42.2599983215332,894.4400024414062,T1Y81__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11734,7172,67.0999984741211,51.2400016784668,T2Y4__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11735,3533,14.199999809265137,26.760000228881836,T0Y2__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11736,142951,39.5,889.0,T1Y81__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11737,1782,11.899999618530273,18.600000381469727,T0Y1__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11738,1867,69.4000015258789,15.880000114440918,T2Y1__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11739,139423,39.5,867.239990234375,T1Y79__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11740,142889,14.199999809265137,886.280029296875,T0Y81__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11741,8936,67.0999984741211,62.119998931884766,T2Y5__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11742,7123,39.5,51.2400016784668,T1Y4__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11743,10700,67.0999984741211,73.0,T2Y6__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11744,135872,14.65999984741211,850.9199829101562,T0Y77__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11745,141187,39.5,878.1199951171875,T1Y80__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11746,3572,14.65999984741211,34.91999816894531,T0Y2__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11747,1880,67.0999984741211,18.600000381469727,T2Y1__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11748,137646,41.79999923706055,853.6400146484375,T1Y78__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11749,134131,39.5,834.5999755859375,T1Y76__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11750,141236,67.0999984741211,878.1199951171875,T2Y80__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11751,8825,14.199999809265137,59.400001525878906,T0Y5__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11752,132344,14.65999984741211,829.1599731445312,T0Y75__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11753,8923,69.4000015258789,59.400001525878906,T2Y5__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11755,141138,11.899999618530273,878.1199951171875,T0Y80__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11756,10638,41.79999923706055,70.27999877929688,T1Y6__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11757,5395,69.4000015258789,37.63999938964844,T2Y3__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11758,10628,14.65999984741211,78.44000244140625,T0Y6__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11759,144692,14.65999984741211,905.3200073242188,T0Y82__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11760,7100,14.65999984741211,56.68000030517578,T0Y4__R3_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11761,10651,39.5,73.0,T1Y6__R1_BUF_0,sky130_fd_sc_hd__clkbuf_4
$auto$insbuf.cc:97:execute$11762,134118,41.79999923706055,831.8800048828125,T1Y76__R0_BUF_0,sky130_fd_sc_hd__clkbuf_4
