cell_name,site_id,x_um,y_um
$abc$9276$auto$blifparse.cc:396:parse_blif$9282,1478,877.26,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$9290,147347,555.76,991.04
$abc$9276$auto$blifparse.cc:396:parse_blif$9308,5297,14.2,40.64
$abc$9276$auto$blifparse.cc:396:parse_blif$9309,55744,618.02,378.72
$abc$9276$auto$blifparse.cc:396:parse_blif$9498,75345,733.8,509.4
$abc$9276$auto$blifparse.cc:396:parse_blif$9555,98697,998.56,658.4
$auto$hilomap.cc:40:hilomap_worker$12031,1,5.46,5.0
$auto$hilomap.cc:40:hilomap_worker$8815,1129,665.56,5.0
$auto$hilomap.cc:48:hilomap_worker$8817,14,5.0,7.72
$auto$insbuf.cc:97:execute$11712,13,30.76,5.0
$auto$insbuf.cc:97:execute$11713,42624,155.36,298.28
$auto$insbuf.cc:97:execute$11714,2911,674.76,19.6
$auto$insbuf.cc:97:execute$11715,12,28.46,5.0
$auto$insbuf.cc:97:execute$11716,1128,663.26,5.0
$auto$insbuf.cc:97:execute$11717,1769,14.2,16.880000000000003
$auto$insbuf.cc:97:execute$11718,96970,993.04,654.68
$auto$insbuf.cc:97:execute$11719,1161,679.36,10.44
$auto$insbuf.cc:97:execute$11720,3528,5.0,28.76
$auto$insbuf.cc:97:execute$11721,1149,677.06,7.72
$auto$insbuf.cc:97:execute$11722,25,5.46,10.44
$auto$insbuf.cc:97:execute$11723,10,23.86,5.0
$auto$insbuf.cc:97:execute$11724,3555,9.14,34.2
$auto$insbuf.cc:97:execute$11725,2893,665.56,16.880000000000003
$auto$insbuf.cc:97:execute$11726,1788,5.0,22.32
$auto$insbuf.cc:97:execute$11727,1131,670.16,5.0
$auto$insbuf.cc:97:execute$11728,1807,12.36,25.04
$auto$insbuf.cc:97:execute$11729,6,16.96,5.0
$auto$insbuf.cc:97:execute$11730,2912,676.6,19.6
$auto$insbuf.cc:97:execute$11731,40,5.46,13.16
$auto$insbuf.cc:97:execute$11732,36,26.16,10.44
$auto$insbuf.cc:97:execute$11733,2908,667.86,19.6
$auto$insbuf.cc:97:execute$11734,1784,16.96,19.6
$auto$insbuf.cc:97:execute$11735,15878,7.76,111.92
$auto$insbuf.cc:97:execute$11736,1145,669.7,7.72
$auto$insbuf.cc:97:execute$11737,33,19.26,10.44
$auto$insbuf.cc:97:execute$11738,1778,5.0,19.6
$auto$insbuf.cc:97:execute$11739,1138,683.96,5.0
$auto$insbuf.cc:97:execute$11740,2907,665.56,19.6
$auto$insbuf.cc:97:execute$11741,18,11.9,7.72
$auto$insbuf.cc:97:execute$11742,3,10.06,5.0
$auto$insbuf.cc:97:execute$11743,4672,667.86,31.48
$auto$insbuf.cc:97:execute$11744,112811,1003.16,753.44
$auto$insbuf.cc:97:execute$11745,2931,663.26,25.04
$auto$insbuf.cc:97:execute$11746,3572,14.66,36.92
$auto$insbuf.cc:97:execute$11747,21,18.8,7.72
$auto$insbuf.cc:97:execute$11748,1154,666.94,10.44
$auto$insbuf.cc:97:execute$11749,1175,678.44,13.16
$auto$insbuf.cc:97:execute$11750,2900,679.36,16.880000000000003
$auto$insbuf.cc:97:execute$11751,144663,5.46,981.88
$auto$insbuf.cc:97:execute$11752,2921,673.84,22.32
$auto$insbuf.cc:97:execute$11753,34,21.56,10.44
$auto$insbuf.cc:97:execute$11755,781,447.8,13.16
$auto$insbuf.cc:97:execute$11756,17,10.06,7.72
$auto$insbuf.cc:97:execute$11757,4,12.36,5.0
$auto$insbuf.cc:97:execute$11758,20,16.96,7.72
$auto$insbuf.cc:97:execute$11759,2895,670.16,16.880000000000003
$auto$insbuf.cc:97:execute$11760,5293,5.46,40.64
$auto$insbuf.cc:97:execute$11761,44,14.66,13.16
$auto$insbuf.cc:97:execute$11762,1148,676.6,7.72
$auto$insbuf.cc:97:execute$11763,1766,7.76,16.880000000000003
$auto$insbuf.cc:97:execute$11764,1140,688.56,5.0
$auto$insbuf.cc:97:execute$11765,783,449.64,13.16
$auto$insbuf.cc:97:execute$11766,1795,17.42,22.32
