design,knob_name,knob_value,cooling_rate,moves_per_temp,p_refine,p_explore,refine_max_distance,W_initial,T_initial_raw,batch_size,runtime_sec,hpwl,seed,dominated
6502,T_initial,1000.0,0.95,200,0.7,0.3,100.0,0.5,1000.0,200,69.9103744170061,796463.6809215546,42,1
6502,T_initial,1000000.0,0.95,200,0.7,0.3,100.0,0.5,1000000.0,200,70.81018141700042,1140548.2462920188,1042,1
6502,T_initial,2782559.402207,0.95,200,0.7,0.3,100.0,0.5,2782559.402207,200,70.82468537499517,1418801.7976945115,3042,1
6502,T_initial,1668100.5372,0.95,200,0.7,0.3,100.0,0.5,1668100.5372,200,70.90899116700166,1265731.9579831315,2042,1
6502,T_initial,4641588.833613,0.95,200,0.7,0.3,100.0,0.5,4641588.833613,200,77.14821354100422,1587119.2863465692,4042,1
6502,T_initial,7742636.826811,0.95,200,0.7,0.3,100.0,0.5,7742636.826811,200,77.2190800410026,1805630.2465343284,5042,1
6502,T_initial,21544346.900319,0.95,200,0.7,0.3,100.0,0.5,21544346.900319,200,77.1640161250034,2005124.636678524,7042,1
6502,T_initial,12915496.650149,0.95,200,0.7,0.3,100.0,0.5,12915496.650149,200,77.26093379200029,1870144.8457702636,6042,1
6502,cooling_rate,0.8,0.8,200,0.7,0.3,100.0,0.5,auto,200,27.31353662499896,843713.0481749916,11042,0
6502,cooling_rate,0.8200000000000001,0.8200000000000001,200,0.7,0.3,100.0,0.5,auto,200,28.465268499996455,829989.6985672569,12042,0
6502,T_initial,35938136.638046,0.95,200,0.7,0.3,100.0,0.5,35938136.638046,200,77.51433683299547,2010160.6772594643,8042,1
6502,T_initial,100000000.0,0.95,200,0.7,0.3,100.0,0.5,100000000.0,200,77.18585104099475,2061261.8660265922,10042,1
6502,T_initial,59948425.031894,0.95,200,0.7,0.3,100.0,0.5,59948425.031894,200,77.36353970799973,2060778.0349116134,9042,1
6502,cooling_rate,0.8400000000000001,0.8400000000000001,200,0.7,0.3,100.0,0.5,auto,200,31.408264375000726,829496.7280095292,13042,0
6502,cooling_rate,0.86,0.86,200,0.7,0.3,100.0,0.5,auto,200,36.253457167003944,811342.3997391891,14042,0
6502,cooling_rate,0.88,0.88,200,0.7,0.3,100.0,0.5,auto,200,40.97106512499886,809183.2883042336,15042,0
6502,cooling_rate,0.9,0.9,200,0.7,0.3,100.0,0.5,auto,200,47.57634324999526,803875.5390732002,16042,0
6502,cooling_rate,0.92,0.92,200,0.7,0.3,100.0,0.5,auto,200,58.19095574999665,801143.3692547989,17042,0
6502,cooling_rate,0.94,0.94,200,0.7,0.3,100.0,0.5,auto,200,77.93273770900123,780163.7790076064,18042,0
6502,cooling_rate,0.96,0.96,200,0.7,0.3,100.0,0.5,auto,200,111.57259154100029,776453.6488685417,19042,0
6502,batch_size,200.0,0.95,200,0.7,0.3,100.0,0.5,auto,200,92.97314758400171,779860.118896923,21042,1
6502,batch_size,289.0,0.95,200,0.7,0.3,100.0,0.5,auto,289,78.15792137500102,813553.8491350746,22042,1
6502,batch_size,378.0,0.95,200,0.7,0.3,100.0,0.5,auto,378,64.52047587499692,796099.4593295289,23042,0
6502,batch_size,467.0,0.95,200,0.7,0.3,100.0,0.5,auto,467,58.76864762499463,802337.8897615623,24042,1
6502,batch_size,556.0,0.95,200,0.7,0.3,100.0,0.5,auto,556,59.239352042000974,827818.5597060776,25042,1
6502,cooling_rate,0.98,0.98,200,0.7,0.3,100.0,0.5,auto,200,205.70775029200013,755564.1894341088,20042,0
6502,batch_size,644.0,0.95,200,0.7,0.3,100.0,0.5,auto,644,59.31646345799527,828925.4689782715,26042,1
6502,batch_size,733.0,0.95,200,0.7,0.3,100.0,0.5,auto,733,58.41459208299784,845890.7288042259,27042,1
6502,batch_size,911.0,0.95,200,0.7,0.3,100.0,0.5,auto,911,56.02770495799632,851894.4896398354,29042,1
6502,batch_size,822.0,0.95,200,0.7,0.3,100.0,0.5,auto,822,58.65255108299607,839543.4295765685,28042,1
6502,batch_size,1000.0,0.95,200,0.7,0.3,100.0,0.5,auto,1000,55.39271404199826,850179.0490280151,30042,1
6502,moves_per_temp,100.0,0.95,100,0.7,0.3,100.0,0.5,auto,200,54.20883158300421,802886.9085220527,31042,0
6502,moves_per_temp,200.0,0.95,200,0.7,0.3,100.0,0.5,auto,200,92.20275029200275,779757.3689116859,32042,0
6502,moves_per_temp,400.0,0.95,400,0.7,0.3,100.0,0.5,auto,200,159.6331769170065,761974.148739872,33042,0
6502,moves_per_temp,600.0,0.95,600,0.7,0.3,100.0,0.5,auto,200,210.35514879199764,752983.6195669556,34042,0
6502,moves_per_temp,800.0,0.95,800,0.7,0.3,100.0,0.5,auto,200,265.5415201659998,752765.7685421944,35042,0
