kind,episode,loss,policy_loss,value_loss,entropy,steps,eps,hpwl_end,illegal_actions,avg_candidates,avg_type_filtered_ratio,time_sec
full,1,15329318.750000,-0.012635,15329318.750000,3.047500,128,0.3000,20677.019986,0.00,32.00,0.0002,11.371880
full,2,15700625.250000,0.002167,15700625.250000,2.926254,128,0.2925,20883.060065,0.00,32.00,0.0002,10.555903
full,3,15609192.750000,0.003934,15609192.750000,2.743804,128,0.2850,20840.819965,0.00,32.00,0.0002,10.898255
full,4,15578109.250000,-0.013986,15578109.250000,2.426418,128,0.2775,20745.060018,0.00,32.00,0.0002,10.807538
full,5,15690325.500000,0.008667,15690325.500000,2.168751,128,0.2700,20909.420006,0.00,32.00,0.0002,10.591218
full,6,15301313.250000,-0.003626,15301313.250000,2.052674,128,0.2625,20572.739954,0.00,32.00,0.0002,10.857610
full,7,15689862.750000,-0.011346,15689862.750000,1.997973,128,0.2550,20902.939949,0.00,32.00,0.0002,10.824786
full,8,15923450.750000,-0.007083,15923450.750000,2.012316,128,0.2475,21014.719947,0.00,32.00,0.0002,10.453283
full,9,16182697.250000,-0.006259,16182697.250000,1.992743,128,0.2400,21232.520114,0.00,32.00,0.0002,9.814610
full,10,15317854.000000,-0.009195,15317854.000000,1.924128,128,0.2325,20756.479901,0.00,32.00,0.0002,9.817835
full,11,15178536.500000,-0.003927,15178536.500000,1.731640,128,0.2250,20543.300008,0.00,32.00,0.0002,9.814555
full,12,15352179.250000,-0.010128,15352179.250000,1.748505,128,0.2175,20676.160057,0.00,32.00,0.0002,9.819737
full,13,15589053.250000,-0.000572,15589053.250000,1.756189,128,0.2100,20788.520027,0.00,32.00,0.0002,9.729052
full,14,15314824.750000,-0.013453,15314824.750000,1.775635,128,0.2025,20638.359943,0.00,32.00,0.0002,9.973798
full,15,15379500.250000,-0.000236,15379500.250000,1.704383,128,0.1950,20785.759931,0.00,32.00,0.0002,9.715419
full,16,15499793.000000,-0.009760,15499793.000000,1.765611,128,0.1875,20765.359953,0.00,32.00,0.0002,9.993088
