kind,episode,loss,policy_loss,value_loss,entropy,steps,hpwl_local_end,illegal_swaps,time_sec
swap,1,13670302.750000,,,,80,33501.450023,0.00,0.415621
swap,2,20603995.000000,,,,80,34332.730068,0.00,0.446583
swap,3,13068449.000000,,,,80,32257.870213,0.00,0.453099
swap,4,13943289.000000,,,,80,32504.170123,0.00,0.304836
swap,5,20622684.000000,,,,80,31918.710059,0.00,0.299526
swap,6,24562320.000000,,,,80,34989.630104,0.00,0.303028
swap,7,15890908.250000,,,,80,30534.229987,0.00,0.292029
swap,8,11341229.750000,,,,80,32055.230088,0.00,0.287714
swap,9,23355598.000000,,,,80,35886.310091,0.00,0.315867
swap,10,17082020.500000,,,,80,31812.769948,0.00,0.299320
swap,11,5178977.250000,,,,80,34820.250078,0.00,0.323983
swap,12,14592304.250000,,,,80,34314.470095,0.00,0.372764
swap,13,18303568.000000,,,,80,34932.930149,0.00,0.430163
swap,14,24159912.500000,,,,80,33492.890128,0.00,0.317066
swap,15,22327494.000000,,,,80,32360.350241,0.00,0.307932
swap,16,10338881.750000,,,,80,35722.210028,0.00,0.306776
swap,17,8129335.375000,,,,80,36475.090058,0.00,0.308088
swap,18,16922617.500000,,,,80,33663.050088,0.00,0.313475
swap,19,24576954.000000,,,,80,32342.050047,0.00,0.324305
swap,20,27283690.000000,,,,80,32878.170070,0.00,0.355815
swap,21,24050163.000000,,,,80,36368.990032,0.00,0.395345
swap,22,17380422.000000,,,,80,32585.749981,0.00,0.435525
swap,23,22863340.000000,,,,80,34784.750136,0.00,0.413907
swap,24,12583958.750000,,,,80,33536.490139,0.00,0.312794
swap,25,3919300.937500,,,,80,33308.170069,0.00,0.326670
swap,26,29576258.000000,,,,80,34802.030068,0.00,0.306827
swap,27,19575292.000000,,,,80,33116.130093,0.00,0.310720
swap,28,18349366.000000,,,,80,33838.690057,0.00,0.305790
swap,29,37218257.000000,,,,80,33408.530220,0.00,0.347169
swap,30,8663640.000000,,,,80,34467.490055,0.00,0.351843
swap,31,14555926.000000,,,,80,35205.690066,0.00,0.395403
swap,32,30544216.000000,,,,80,34865.090131,0.00,0.446093
swap,33,30884005.000000,,,,80,31138.590090,0.00,0.418844
swap,34,30209563.000000,,,,80,35365.570072,0.00,0.313213
swap,35,21512501.500000,,,,80,32557.730176,0.00,0.319508
swap,36,16396577.750000,,,,80,31958.310148,0.00,0.307365
swap,37,26089329.000000,,,,80,34843.370087,0.00,0.324151
swap,38,22740150.500000,,,,80,35339.290092,0.00,0.307461
swap,39,24778712.500000,,,,80,36155.450139,0.00,0.327967
swap,40,8132176.125000,,,,80,35022.830146,0.00,0.349797
swap,41,48184993.000000,,,,80,33883.590072,0.00,0.383422
swap,42,37045155.000000,,,,80,34114.810097,0.00,0.459721
swap,43,40635125.000000,,,,80,35814.310110,0.00,0.359311
swap,44,30009248.500000,,,,80,33993.770104,0.00,0.322301
swap,45,17734680.500000,,,,80,31799.250169,0.00,0.306638
swap,46,12414276.750000,,,,80,33447.130016,0.00,0.306354
swap,47,21313811.000000,,,,80,33806.050103,0.00,0.311210
swap,48,14367479.500000,,,,80,33298.470190,0.00,0.317365
swap,49,21409503.000000,,,,80,33765.790054,0.00,0.349592
swap,50,11424231.500000,,,,80,32696.790160,0.00,0.365611
swap,51,18810363.500000,,,,80,34341.710097,0.00,0.390614
swap,52,24954649.500000,,,,80,33862.690057,0.00,0.426363
swap,53,10224968.750000,,,,80,32729.890153,0.00,0.301122
swap,54,30777490.000000,,,,80,32632.630189,0.00,0.297067
swap,55,17803399.500000,,,,80,32544.930154,0.00,0.289408
swap,56,7457308.375000,,,,80,33892.270085,0.00,0.291190
swap,57,760802.609375,,,,80,33999.770114,0.00,0.285779
swap,58,200225.382812,,,,80,32477.490138,0.00,0.285988
swap,59,412452.953125,,,,80,33679.630007,0.00,0.296557
swap,60,208622.378906,,,,80,33937.590039,0.00,0.300008
swap,61,530838.625000,,,,80,32283.770127,0.00,0.321676
swap,62,443769.460938,,,,80,33544.889995,0.00,0.374162
swap,63,437762.718750,,,,80,32286.110173,0.00,0.417251
swap,64,437176.757812,,,,80,32976.870149,0.00,0.325998
swap,65,179208.753906,,,,80,32953.450130,0.00,0.311324
swap,66,368386.453125,,,,80,33629.210005,0.00,0.306751
swap,67,655903.640625,,,,80,32420.850184,0.00,0.305437
swap,68,274974.734375,,,,80,32903.170145,0.00,0.307596
swap,69,366682.210938,,,,80,33544.889995,0.00,0.332311
swap,70,513325.734375,,,,80,31849.730133,0.00,0.358070
swap,71,1059439.750000,,,,80,34091.830033,0.00,0.387533
swap,72,1023910.828125,,,,80,32370.430182,0.00,0.430824
swap,73,1071439.781250,,,,80,32235.690171,0.00,0.449668
swap,74,25166066.500000,,,,80,34033.470026,0.00,0.309566
swap,75,386395.937500,,,,80,33037.770140,0.00,0.313686
swap,76,1191018.343750,,,,80,32926.450147,0.00,0.305925
swap,77,1272240.656250,,,,80,34009.570031,0.00,0.306832
