kind,episode,loss,policy_loss,value_loss,entropy,steps,hpwl_local_end,time_sec
swap,1,12377387.250000,,,,80,26581.100052,0.239144
swap,2,6693436.500000,,,,80,27490.500002,0.248006
swap,3,15454862.500000,,,,80,27368.620069,0.274896
swap,4,4316094.000000,,,,80,27879.780028,0.245638
swap,5,3414583.000000,,,,80,27672.820020,0.268789
swap,6,4213383.875000,,,,80,28389.239970,0.259185
swap,7,4934281.250000,,,,80,26549.600050,0.248453
swap,8,25802620.500000,,,,80,29555.580069,0.256308
swap,9,17201236.000000,,,,80,27207.679957,0.265344
swap,10,6210482.250000,,,,80,26996.840053,0.252587
swap,11,13014862.750000,,,,80,29575.739972,0.280709
swap,12,19682577.000000,,,,80,25477.720035,0.228838
swap,13,11921765.750000,,,,80,29282.820006,0.225175
swap,14,5706060.375000,,,,80,28629.559969,0.264543
swap,15,3627160.062500,,,,80,28967.880032,0.241932
swap,16,13709181.750000,,,,80,28689.219968,0.261095
swap,17,10652583.750000,,,,80,28752.679982,0.305801
swap,18,17017188.500000,,,,80,28915.160035,0.292414
swap,19,12737880.250000,,,,80,29707.280000,0.278627
swap,20,3067613.062500,,,,80,28364.279948,0.260408
swap,21,4217733.750000,,,,80,26441.219987,0.287365
swap,22,9517122.750000,,,,80,27651.700055,0.277784
swap,23,8976316.250000,,,,80,26423.560022,0.267471
swap,24,1815259.687500,,,,80,27255.000053,0.301290
swap,25,9321387.750000,,,,80,26966.639981,0.260897
swap,26,14758342.750000,,,,80,28065.219981,0.260150
swap,27,5825622.500000,,,,80,27169.880045,0.262327
swap,28,9725237.500000,,,,80,27176.279973,0.275409
swap,29,3848656.375000,,,,80,27420.280040,0.241274
swap,30,3303137.187500,,,,80,27967.800003,0.275799
swap,31,10769594.000000,,,,80,27822.639986,0.242749
swap,32,15398148.500000,,,,80,27154.859927,0.255467
swap,33,22889364.000000,,,,80,27995.720022,0.273492
swap,34,15254240.500000,,,,80,27388.259979,0.262080
swap,35,17691467.500000,,,,80,27463.359996,0.263798
swap,36,8527963.000000,,,,80,28105.400003,0.244812
swap,37,6722713.250000,,,,80,28293.419991,0.252883
swap,38,26666286.000000,,,,80,29217.039991,0.255993
swap,39,6344819.750000,,,,80,29513.840007,0.274460
swap,40,16247473.000000,,,,80,28849.639989,0.269182
swap,41,38362475.000000,,,,80,27474.740012,0.297989
swap,42,16958982.000000,,,,80,29131.540038,0.251637
swap,43,12501953.250000,,,,80,27110.480074,0.254136
swap,44,19246011.500000,,,,80,28043.220020,0.260181
swap,45,15886630.250000,,,,80,28821.439985,0.257528
swap,46,12153766.750000,,,,80,28189.540034,0.251022
swap,47,12758351.750000,,,,80,26421.220026,0.272118
swap,48,14710150.750000,,,,80,27613.360002,0.246431
swap,49,18131192.000000,,,,80,27691.200009,0.255223
swap,50,2221601.687500,,,,80,27804.759995,0.289694
swap,51,122516.218750,,,,80,27325.360017,0.279533
swap,52,14840962.250000,,,,80,28065.459991,0.277751
swap,53,16412565.500000,,,,80,29046.379988,0.264175
swap,54,12402439.000000,,,,80,29595.799986,0.260755
swap,55,8160874.375000,,,,80,28281.299983,0.258248
swap,56,9518693.500000,,,,80,27756.540068,0.251062
swap,57,288946.492188,,,,80,27243.860023,0.245427
swap,58,32402142.500000,,,,80,28261.480014,0.255287
swap,59,7963216.500000,,,,80,28302.219966,0.267116
swap,60,18711076.500000,,,,80,26918.160015,0.260564
swap,1,7648.911499,,,,80,5620.370018,0.258670
swap,2,10514.433105,,,,80,5602.870024,0.257697
swap,3,7016.186523,,,,80,5608.690021,0.235245
swap,4,4265.636841,,,,80,5593.850027,0.300940
swap,5,8643.933594,,,,80,5504.150013,0.284441
swap,6,6408.660889,,,,80,5673.970018,0.273607
swap,7,3096.281372,,,,80,5572.910025,0.337872
swap,8,5828.086548,,,,80,5670.810026,0.276411
swap,9,3823.624695,,,,80,5569.410022,0.253614
swap,10,1461.498535,,,,80,5569.150023,0.307927
swap,11,1511.279449,,,,80,5680.630026,0.295512
swap,12,194.547607,,,,80,5715.130021,0.248818
swap,13,1440.962463,,,,80,5786.270021,0.246917
swap,14,1252.354034,,,,80,5722.850023,0.231450
swap,15,301.422874,,,,80,5618.250024,0.271064
swap,16,621.230820,,,,80,5512.670025,0.266897
swap,17,771.571182,,,,80,5704.250024,0.260578
swap,18,799.592224,,,,80,5768.730020,0.283535
swap,19,887.184479,,,,80,5508.110024,0.255384
swap,20,1313.182373,,,,80,5749.650022,0.272853
swap,21,1030.966583,,,,80,5662.610015,0.269953
swap,22,373.534042,,,,80,5593.850027,0.271810
swap,23,6338.665161,,,,80,5670.670024,0.263797
swap,24,708.862106,,,,80,5513.950022,0.256658
swap,25,665.547379,,,,80,5593.850027,0.236084
swap,26,858.157501,,,,80,5539.190030,0.261468
swap,27,512.320198,,,,80,5594.410022,0.247624
swap,28,443.114372,,,,80,5512.670025,0.278451
swap,29,782.808273,,,,80,5551.950028,0.284652
swap,30,1162.999176,,,,80,5760.670021,0.308313
swap,31,371.557198,,,,80,5614.570018,0.256893
swap,32,583.191711,,,,80,5653.030022,0.272922
swap,33,2868.307373,,,,80,5727.890024,0.268323
swap,34,703.847763,,,,80,5620.390017,0.279217
swap,35,480.755898,,,,80,5574.470017,0.255815
swap,36,3744.039551,,,,80,5826.290024,0.286223
swap,37,5184.555908,,,,80,5898.970015,0.267585
swap,38,11351.670166,,,,80,5804.290019,0.243492
swap,39,2869.455078,,,,80,5624.310022,0.270483
swap,40,972.542419,,,,80,5743.530018,0.255273
swap,41,512.333328,,,,80,5621.450020,0.253928
swap,42,1451.168701,,,,80,5529.850019,0.241878
swap,43,693.510025,,,,80,5658.370023,0.269076
swap,44,2717.618347,,,,80,5612.170022,0.271858
swap,45,1592.322388,,,,80,5608.750012,0.263341
swap,46,2085.443359,,,,80,5758.650019,0.244016
swap,47,2036.231842,,,,80,5782.850018,0.280960
swap,48,1557.295074,,,,80,5523.530027,0.253110
swap,49,1083.943909,,,,80,5586.130025,0.248727
swap,50,1905.982178,,,,80,5674.470019,0.244501
