cell_type,cell_name
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2097
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2098
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2099
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2100
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2101
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2102
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2103
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2104
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2105
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2106
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2107
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2108
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2109
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2110
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2111
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2112
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2113
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2114
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2115
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2116
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2117
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2118
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2119
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2120
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2121
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2122
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2123
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2124
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2125
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2126
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2127
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2128
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2129
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2130
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2131
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2132
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2133
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2134
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2135
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2136
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2137
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2138
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2139
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2140
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2141
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2142
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2143
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2144
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2145
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2146
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2147
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2148
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2149
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2150
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2151
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2152
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2153
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2154
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2155
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2156
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2157
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2158
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2159
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2160
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2161
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2162
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2163
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2164
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2165
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2166
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2167
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2168
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2169
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2170
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2171
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2172
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2173
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2174
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2175
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2176
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2177
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2178
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2179
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2180
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2181
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2182
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2183
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2184
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2185
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2186
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2187
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2188
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2189
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2190
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2191
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2192
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2193
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2194
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2195
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2196
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2197
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2198
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2199
