cell_name,cell_type,port,net_bit,net_name,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2097,sky130_fd_sc_hd__clkinv_2,A,24,in_20,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2097,sky130_fd_sc_hd__clkinv_2,Y,124,$abc$2096$new_n56,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2098,sky130_fd_sc_hd__clkinv_2,A,125,A.gray_inst.binary_count,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2098,sky130_fd_sc_hd__clkinv_2,Y,126,$abc$2096$new_n57,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2099,sky130_fd_sc_hd__clkinv_2,A,20,in_16,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2099,sky130_fd_sc_hd__clkinv_2,Y,127,$abc$2096$new_n58,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2100,sky130_fd_sc_hd__clkinv_2,A,22,in_18,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2100,sky130_fd_sc_hd__clkinv_2,Y,128,$abc$2096$new_n59,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2101,sky130_fd_sc_hd__clkinv_2,A,13,in_9,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2101,sky130_fd_sc_hd__clkinv_2,Y,129,$abc$2096$new_n60,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2102,sky130_fd_sc_hd__clkinv_2,A,4,in_0,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2102,sky130_fd_sc_hd__clkinv_2,Y,130,$abc$2096$new_n61,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2103,sky130_fd_sc_hd__clkinv_2,A,6,in_2,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2103,sky130_fd_sc_hd__clkinv_2,Y,131,$abc$2096$new_n62,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2104,sky130_fd_sc_hd__clkinv_2,A,7,in_3,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2104,sky130_fd_sc_hd__clkinv_2,Y,132,$abc$2096$new_n63,output
