port_name,direction,net_bit,net_name
clk,input,2,clk
rst_n,input,3,rst_n
in_0,input,4,in_0
in_1,input,5,in_1
in_2,input,6,in_2
in_3,input,7,in_3
in_4,input,8,in_4
in_5,input,9,in_5
in_6,input,10,in_6
in_7,input,11,in_7
in_8,input,12,in_8
in_9,input,13,in_9
in_10,input,14,in_10
in_11,input,15,in_11
in_12,input,16,in_12
in_13,input,17,in_13
in_14,input,18,in_14
in_15,input,19,in_15
in_16,input,20,in_16
in_17,input,21,in_17
in_18,input,22,in_18
in_19,input,23,in_19
in_20,input,24,in_20
in_21,input,25,in_21
in_22,input,26,in_22
in_23,input,27,in_23
in_24,input,28,in_24
in_25,input,29,in_25
in_26,input,30,in_26
in_27,input,31,in_27
in_28,input,32,in_28
in_29,input,33,in_29
in_30,input,34,in_30
in_31,input,35,in_31
in_32,input,36,in_32
in_33,input,37,in_33
in_34,input,38,in_34
in_35,input,39,in_35
in_36,input,40,in_36
in_37,input,41,in_37
in_38,input,42,in_38
in_39,input,43,in_39
oeb_0,output,44,oeb_0
oeb_1,output,45,oeb_1
oeb_2,output,46,oeb_2
oeb_3,output,47,oeb_3
oeb_4,output,48,oeb_4
oeb_5,output,49,oeb_5
oeb_6,output,50,oeb_6
oeb_7,output,51,oeb_7
oeb_8,output,52,oeb_8
oeb_9,output,53,oeb_9
oeb_10,output,54,oeb_10
oeb_11,output,55,oeb_11
oeb_12,output,56,oeb_12
oeb_13,output,57,oeb_13
oeb_14,output,58,oeb_14
oeb_15,output,59,oeb_15
oeb_16,output,60,oeb_16
oeb_17,output,61,oeb_17
oeb_18,output,62,oeb_18
oeb_19,output,63,oeb_19
oeb_20,output,64,oeb_20
oeb_21,output,65,oeb_21
oeb_22,output,66,oeb_22
oeb_23,output,67,oeb_23
oeb_24,output,68,oeb_24
oeb_25,output,69,oeb_25
oeb_26,output,70,oeb_26
oeb_27,output,71,oeb_27
oeb_28,output,72,oeb_28
oeb_29,output,73,oeb_29
oeb_30,output,74,oeb_30
oeb_31,output,75,oeb_31
oeb_32,output,76,oeb_32
oeb_33,output,77,oeb_33
oeb_34,output,78,oeb_34
oeb_35,output,79,oeb_35
oeb_36,output,80,oeb_36
oeb_37,output,81,oeb_37
oeb_38,output,82,oeb_38
oeb_39,output,83,oeb_39
out_0,output,84,out_0
out_1,output,85,out_1
out_2,output,86,out_2
out_3,output,87,out_3
out_4,output,88,out_4
out_5,output,89,out_5
out_6,output,90,out_6
out_7,output,91,out_7
out_8,output,92,out_8
out_9,output,93,out_9
out_10,output,94,out_10
out_11,output,95,out_11
out_12,output,96,out_12
out_13,output,97,out_13
out_14,output,98,out_14
out_15,output,99,out_15
out_16,output,100,out_16
out_17,output,101,out_17
out_18,output,102,out_18
out_19,output,103,out_19
out_20,output,104,out_20
out_21,output,105,out_21
out_22,output,106,out_22
out_23,output,107,out_23
out_24,output,108,out_24
out_25,output,109,out_25
out_26,output,110,out_26
out_27,output,111,out_27
out_28,output,112,out_28
out_29,output,113,out_29
out_30,output,114,out_30
out_31,output,115,out_31
out_32,output,116,out_32
out_33,output,117,out_33
out_34,output,118,out_34
out_35,output,119,out_35
out_36,output,120,out_36
out_37,output,121,out_37
out_38,output,122,out_38
out_39,output,123,out_39
