name,side,layer,x_um,y_um,x_dbu,y_dbu,track_idx,direction,status
in_0,south,met2,4.83,0.0,4830,0,10,INPUT,FIXED
out_0,south,met2,5.29,0.0,5290,0,11,OUTPUT,FIXED
oeb_0,south,met2,5.75,0.0,5750,0,12,INPUT,FIXED
in_1,south,met2,114.77,0.0,114770,0,249,INPUT,FIXED
out_1,south,met2,115.23,0.0,115230,0,250,OUTPUT,FIXED
oeb_1,south,met2,115.69,0.0,115690,0,251,INPUT,FIXED
in_2,south,met2,225.17,0.0,225170,0,489,INPUT,FIXED
out_2,south,met2,225.63,0.0,225630,0,490,OUTPUT,FIXED
oeb_2,south,met2,226.09,0.0,226090,0,491,INPUT,FIXED
in_3,south,met2,335.57,0.0,335570,0,729,INPUT,FIXED
out_3,south,met2,336.03,0.0,336030,0,730,OUTPUT,FIXED
oeb_3,south,met2,336.49,0.0,336490,0,731,INPUT,FIXED
in_4,south,met2,445.97,0.0,445970,0,969,INPUT,FIXED
out_4,south,met2,446.43,0.0,446430,0,970,OUTPUT,FIXED
oeb_4,south,met2,446.89,0.0,446890,0,971,INPUT,FIXED
in_5,south,met2,556.37,0.0,556370,0,1209,INPUT,FIXED
out_5,south,met2,556.83,0.0,556830,0,1210,OUTPUT,FIXED
oeb_5,south,met2,557.29,0.0,557290,0,1211,INPUT,FIXED
in_6,south,met2,666.77,0.0,666770,0,1449,INPUT,FIXED
out_6,south,met2,667.23,0.0,667230,0,1450,OUTPUT,FIXED
oeb_6,south,met2,667.69,0.0,667690,0,1451,INPUT,FIXED
in_7,south,met2,777.17,0.0,777170,0,1689,INPUT,FIXED
out_7,south,met2,777.63,0.0,777630,0,1690,OUTPUT,FIXED
oeb_7,south,met2,778.09,0.0,778090,0,1691,INPUT,FIXED
in_8,south,met2,887.57,0.0,887570,0,1929,INPUT,FIXED
out_8,south,met2,888.03,0.0,888030,0,1930,OUTPUT,FIXED
oeb_8,south,met2,888.49,0.0,888490,0,1931,INPUT,FIXED
in_9,south,met2,997.97,0.0,997970,0,2169,INPUT,FIXED
out_9,south,met2,998.43,0.0,998430,0,2170,OUTPUT,FIXED
oeb_9,south,met2,998.89,0.0,998890,0,2171,INPUT,FIXED
in_10,east,met3,1003.6,4.42,1003600,4420,6,INPUT,FIXED
out_10,east,met3,1003.6,5.1,1003600,5100,7,OUTPUT,FIXED
oeb_10,east,met3,1003.6,5.78,1003600,5780,8,INPUT,FIXED
in_11,east,met3,1003.6,113.22,1003600,113220,166,INPUT,FIXED
out_11,east,met3,1003.6,113.9,1003600,113900,167,OUTPUT,FIXED
oeb_11,east,met3,1003.6,114.58,1003600,114580,168,INPUT,FIXED
in_12,east,met3,1003.6,222.02,1003600,222020,326,INPUT,FIXED
out_12,east,met3,1003.6,222.7,1003600,222700,327,OUTPUT,FIXED
oeb_12,east,met3,1003.6,223.38,1003600,223380,328,INPUT,FIXED
in_13,east,met3,1003.6,330.82,1003600,330820,486,INPUT,FIXED
out_13,east,met3,1003.6,331.5,1003600,331500,487,OUTPUT,FIXED
oeb_13,east,met3,1003.6,332.18,1003600,332180,488,INPUT,FIXED
in_14,east,met3,1003.6,439.62,1003600,439620,646,INPUT,FIXED
out_14,east,met3,1003.6,440.3,1003600,440300,647,OUTPUT,FIXED
oeb_14,east,met3,1003.6,440.98,1003600,440980,648,INPUT,FIXED
in_15,east,met3,1003.6,548.42,1003600,548420,806,INPUT,FIXED
out_15,east,met3,1003.6,549.1,1003600,549100,807,OUTPUT,FIXED
oeb_15,east,met3,1003.6,549.78,1003600,549780,808,INPUT,FIXED
in_16,east,met3,1003.6,657.22,1003600,657220,966,INPUT,FIXED
out_16,east,met3,1003.6,657.9,1003600,657900,967,OUTPUT,FIXED
oeb_16,east,met3,1003.6,658.58,1003600,658580,968,INPUT,FIXED
in_17,east,met3,1003.6,766.02,1003600,766020,1126,INPUT,FIXED
out_17,east,met3,1003.6,766.7,1003600,766700,1127,OUTPUT,FIXED
oeb_17,east,met3,1003.6,767.38,1003600,767380,1128,INPUT,FIXED
in_18,east,met3,1003.6,874.82,1003600,874820,1286,INPUT,FIXED
out_18,east,met3,1003.6,875.5,1003600,875500,1287,OUTPUT,FIXED
oeb_18,east,met3,1003.6,876.18,1003600,876180,1288,INPUT,FIXED
in_19,east,met3,1003.6,982.94,1003600,982940,1445,INPUT,FIXED
out_19,east,met3,1003.6,983.62,1003600,983620,1446,OUTPUT,FIXED
oeb_19,east,met3,1003.6,984.3,1003600,984300,1447,INPUT,FIXED
