cell_name,cell_type,port,net_bit,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2097,sky130_fd_sc_hd__clkinv_2,A,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2097,sky130_fd_sc_hd__clkinv_2,Y,124,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2098,sky130_fd_sc_hd__clkinv_2,A,125,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2098,sky130_fd_sc_hd__clkinv_2,Y,126,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2099,sky130_fd_sc_hd__clkinv_2,A,20,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2099,sky130_fd_sc_hd__clkinv_2,Y,127,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2100,sky130_fd_sc_hd__clkinv_2,A,22,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2100,sky130_fd_sc_hd__clkinv_2,Y,128,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2101,sky130_fd_sc_hd__clkinv_2,A,13,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2101,sky130_fd_sc_hd__clkinv_2,Y,129,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2102,sky130_fd_sc_hd__clkinv_2,A,4,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2102,sky130_fd_sc_hd__clkinv_2,Y,130,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2103,sky130_fd_sc_hd__clkinv_2,A,6,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2103,sky130_fd_sc_hd__clkinv_2,Y,131,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2104,sky130_fd_sc_hd__clkinv_2,A,7,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2104,sky130_fd_sc_hd__clkinv_2,Y,132,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2105,sky130_fd_sc_hd__clkinv_2,A,8,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2105,sky130_fd_sc_hd__clkinv_2,Y,133,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2106,sky130_fd_sc_hd__clkinv_2,A,9,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2106,sky130_fd_sc_hd__clkinv_2,Y,134,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2107,sky130_fd_sc_hd__clkinv_2,A,10,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2107,sky130_fd_sc_hd__clkinv_2,Y,135,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2108,sky130_fd_sc_hd__clkinv_2,A,11,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2108,sky130_fd_sc_hd__clkinv_2,Y,136,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2109,sky130_fd_sc_hd__nand2_2,A,137,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2109,sky130_fd_sc_hd__nand2_2,B,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2109,sky130_fd_sc_hd__nand2_2,Y,138,output
